Ronda;Equipo1;golesEquipo1;golesEquipo2;Equipo2
1;Argentina;1;2;Arabia Saudita
1;Polonia;0;0;Mexico
1;Argentina;2;0;Mexico
1;Arabia Saudita;0;2;Polonia
